1,Bowery Estates,Montgomery,AL,36100,,2008-01-06 23:17:57
3,Dogwood Drive,Sacramento,CA,94203,,2008-01-08 23:17:57
5,Fir Street,Washington,DC,20510-0001,,2008-01-10 23:17:57
7,The Highlands,Atlanta,GA,30026,,2008-01-12 23:17:57
9,James Road,Springfield,IL,62700,,2008-01-14 23:17:57
11,Larch Mont Road,Boston,MA,02138-7190,,2008-01-16 23:17:57
13,New Pike Road,Trenton,NJ,8600,,2008-01-18 23:17:57
15,Pine Place,Albany,NY,12200-2837,,2008-01-20 23:17:57
17,Race Track Road,Harrisburg,PA,17100,,2008-01-22 23:17:57
19,Tamarack Road,Salt Lake City,UT,84100,,2008-01-24 23:17:57
21,Valley Road,Olympia,WA,98507,,2008-01-26 23:17:57
23,Apple Lane,Juneau,AK,99801,,2008-01-28 23:17:57
25,Cannery Row,Phoenix,AZ,85011,,2008-01-30 23:17:57
27,Elm Street,Denver,CO,80201,,2008-02-01 23:17:57
29,Goshen Road,Tallahassee,FL,32301,,2008-02-03 23:17:57
31,Island Drive,Honolulu,HI,96800-3017,,2008-02-05 23:17:57
33,King Street,Baton Rouge,LA,70800,,2008-02-07 23:17:57
35,Maple Street,Annapolis,MD,21400,,2008-02-09 23:17:57
37,Oak Drive,Carson City,NV,89701,,2008-02-11 23:17:57
39,Queen Ann Drive,Salem,OR,97301,,2008-02-13 23:17:57
41,Stoney Way,Austin,TX,73301,,2008-02-15 23:17:57
43,University Lane,Richmond,VA,23173-1823,,2008-02-17 23:17:57
45,Willow Road,Charleston,WV,25300,,2008-02-19 23:17:57
47,Bowery Estates,Montgomery,AL,36100,,2008-02-21 23:17:57
49,Dogwood Drive,Sacramento,CA,94203,,2008-02-23 23:17:57
51,Fir Street,Washington,DC,20510-0001,,2008-02-25 23:17:57
53,The Highlands,Atlanta,GA,30026,,2008-02-27 23:17:57
55,James Road,Springfield,IL,62700,,2008-02-29 23:17:57
57,Larch Mont Road,Boston,MA,02138-7190,,2008-03-02 23:17:57
59,New Pike Road,Trenton,NJ,8600,,2008-03-04 23:17:57
61,Pine Place,Albany,NY,12200-2837,,2008-03-06 23:17:57
63,Race Track Road,Harrisburg,PA,17100,,2008-03-08 23:17:57
65,Tamarack Road,Salt Lake City,UT,84100,,2008-03-10 23:17:57
67,Valley Road,Olympia,WA,98507,,2008-03-12 23:17:57
69,Apple Lane,Juneau,AK,99801,,2008-03-14 23:17:57
71,Cannery Row,Phoenix,AZ,85011,,2008-03-16 23:17:57
73,Elm Street,Denver,CO,80201,,2008-03-18 23:17:57
75,Goshen Road,Tallahassee,FL,32301,,2008-03-20 23:17:57
77,Island Drive,Honolulu,HI,96800-3017,,2008-03-22 23:17:57
79,King Street,Baton Rouge,LA,70800,,2008-03-24 23:17:57
81,Maple Street,Annapolis,MD,21400,,2008-03-26 23:17:57
83,Oak Drive,Carson City,NV,89701,,2008-03-28 23:17:57
85,Queen Ann Drive,Salem,OR,97301,,2008-03-30 23:17:57
87,Stoney Way,Austin,TX,73301,,2008-04-01 23:17:57
